"","acceptedScientificName","LON","LAT"
"658","Lontra felina (Molina, 1782)",-71.481847,-32.496484
"659","Lontra felina (Molina, 1782)",-71.54565,-32.35141
"661","Lontra felina (Molina, 1782)",-71.738842,-33.567091
"664","Lontra felina (Molina, 1782)",-71.711347,-33.445675
"668","Lontra felina (Molina, 1782)",-73.772552,-41.670418
"672","Lontra felina (Molina, 1782)",-71.777,-33.379231
"673","Lontra felina (Molina, 1782)",-71.594362,-32.286777
"674","Lontra felina (Molina, 1782)",-71.732962,-33.459004
"676","Lontra felina (Molina, 1782)",-72.023187,-17.086817
"677","Lontra felina (Molina, 1782)",-73.650664,-41.793143
"678","Lontra felina (Molina, 1782)",-73.739061,-41.609457
"681","Lontra felina (Molina, 1782)",-73.688275,-41.614254
"685","Lontra felina (Molina, 1782)",-71.38047,-29.924435
"686","Lontra felina (Molina, 1782)",-71.787917,-33.186713
"687","Lontra felina (Molina, 1782)",-73.317091,-39.449301
"688","Lontra felina (Molina, 1782)",-71.578826,-29.000117
"689","Lontra felina (Molina, 1782)",-71.768224,-33.486685
"691","Lontra felina (Molina, 1782)",-70.969306,-27.005913
"692","Lontra felina (Molina, 1782)",-70.538044,-23.767274
"694","Lontra felina (Molina, 1782)",-73.082745,-36.642343
"695","Lontra felina (Molina, 1782)",-73.330833,-36.616278
"697","Lontra felina (Molina, 1782)",-70.965969,-26.89319
"698","Lontra felina (Molina, 1782)",-71.517718,-29.048096
"699","Lontra felina (Molina, 1782)",-77.737913,-11.333305
"700","Lontra felina (Molina, 1782)",-73.238116,-36.601346
"701","Lontra felina (Molina, 1782)",-73.389143,-36.71711
"702","Lontra felina (Molina, 1782)",-71.533631,-29.204078
"703","Lontra felina (Molina, 1782)",-73.258864,-36.665154
"704","Lontra felina (Molina, 1782)",-71.538979,-32.22904
"707","Lontra felina (Molina, 1782)",-76.993732,-12.500734
"710","Lontra felina (Molina, 1782)",-71.683331,-33.288287
"714","Lontra felina (Molina, 1782)",-71.591523,-32.375446
"716","Lontra felina (Molina, 1782)",-71.681996,-33.028027
"717","Lontra felina (Molina, 1782)",-71.365207,-29.891889
"718","Lontra felina (Molina, 1782)",-73.237921,-36.637047
"720","Lontra felina (Molina, 1782)",-71.758674,-33.057159
"721","Lontra felina (Molina, 1782)",-70.70571,-23.504811
"722","Lontra felina (Molina, 1782)",-71.449984,-32.352214
"724","Lontra felina (Molina, 1782)",-70.202,-20.945038
"726","Lontra felina (Molina, 1782)",-73.41543,-37.032105
"727","Lontra felina (Molina, 1782)",-71.570088,-32.604516
"728","Lontra felina (Molina, 1782)",-71.395655,-30.094866
"731","Lontra felina (Molina, 1782)",-71.76647,-33.405646
"732","Lontra felina (Molina, 1782)",-71.679142,-33.567385
"733","Lontra felina (Molina, 1782)",-71.594858,-32.604655
"734","Lontra felina (Molina, 1782)",-71.447503,-32.661936
"735","Lontra felina (Molina, 1782)",-71.562415,-32.736599
"736","Lontra felina (Molina, 1782)",-73.065125,-43.605085
"737","Lontra felina (Molina, 1782)",-72.047906,-17.134102
