acceptedScientificName;Lugar;decimalLongitude;decimalLatitude;year;month;day;eventDate;occurrenceStatus ;DEP,,
Lontra felina (Molina, 1782);Puerto Grau;-70.88436;-17.99443;2023;1;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Punta El Faro;-70.88715;-18.00727;2023;1;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Islote Santa Rosa;-70.88066;-18.01187;2022;11;28;NA;1;Tacna,
Lontra felina (Molina, 1782);Islote Santa Rosa;-70.88056;-18.01231;2022;11;28;NA;1;Tacna,
Lontra felina (Molina, 1782);Islote Santa Rosa;-70.88024;-18.01244;2022;11;28;NA;1;Tacna,
Lontra felina (Molina, 1782);Islote Santa Rosa;-70.88024;-18.01244;2022;11;28;NA;1;Tacna,
Lontra felina (Molina, 1782);Islote Santa Rosa;-70.88025;-18.01248;2023;1;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Islote Santa Rosa;-70.88025;-18.01248;2023;1;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Islote Santa Rosa;-70.88025;-18.01248;2023;1;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Islote Santa Rosa;-70.88025;-18.01248;2023;1;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Quebrada Morro Sama;-70.87381;-18.01277;2022;11;28;NA;1;Tacna,
Lontra felina (Molina, 1782);Quebrada Morro Sama;-70.8756;-18.01416;2022;11;28;NA;1;Tacna,
Lontra felina (Molina, 1782);Quebrada Morro Sama;-70.87287;-18.01459;2023;1;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Vila Vila;-70.72932;-18.11851;2023;1;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.85424;-18.02643;2022;11;28;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.85236;-18.02604;2023;1;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.85571;-18.02592;2022;11;28;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.8558;-18.02556;2023;1;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.85622;-18.02496;2022;11;28;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.85777;-18.0244;2022;11;28;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.85783;-18.02431;2023;1;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.85807;-18.02404;2023;1;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.85868;-18.02327;2023;1;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.85876;-18.02287;2023;1;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.85923288;-18.022869;2022;10;5;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.85923288;-18.022869;2022;10;5;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.85923288;-18.022869;2022;10;5;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.85923288;-18.022869;2022;10;5;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.85923288;-18.022869;2022;10;5;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.86008;-18.02246;2023;1;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.85981395;-18.022448;2022;7;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.85977;-18.02242;2023;1;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.86049057;-18.022134;2022;7;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.86049057;-18.022134;2022;7;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.86055;-18.02163;2022;11;28;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.8609653;-18.021479;2022;7;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.86116;-18.02123;2023;1;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.86121616;-18.021088;2022;7;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.86136;-18.02098;2023;1;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.86145796;-18.020734;2022;10;5;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.86157653;-18.020335;2022;7;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.86199171;-18.020304;2022;7;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Lobera Agua Dulce;-70.86356847;-18.02028;2022;7;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Agua Dulce;-70.86183949;-18.020197;2022;7;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Lobera Sur;-70.86327731;-18.019533;2022;10;5;NA;1;Tacna,
Lontra felina (Molina, 1782);Lobera Agua Dulce;-70.86327;-18.01946;2023;1;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Lobera Agua Dulce;-70.86684;-18.01883;2023;1;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Lobera Agua Dulce;-70.86688;-18.01879;2022;11;28;NA;1;Tacna,
Lontra felina (Molina, 1782);Lobera;-70.86860588;-18.017991;2022;10;5;NA;1;Tacna,
Lontra felina (Molina, 1782);Quebrada Morro Sama;-70.86866559;-18.017385;2022;7;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Lobera Agua Dulce;-70.8688;-18.01721;2023;1;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Lobera Norte;-70.87137213;-18.017042;2022;10;5;NA;1;Tacna,
Lontra felina (Molina, 1782);Islote Santa Rosa;-70.87674694;-18.014533;2022;10;5;NA;1;Tacna,
Lontra felina (Molina, 1782);Islote Santa Rosa;-70.87855672;-18.014226;2022;7;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Islote Santa Rosa;-70.87531567;-18.014023;2022;10;5;NA;1;Tacna,
Lontra felina (Molina, 1782);Quebrada Morro Sama;-70.87449002;-18.013633;2022;7;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Islote Santa Rosa;-70.87980726;-18.012832;2022;7;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Islote Santa Rosa;-70.88037041;-18.01251;2022;10;5;NA;1;Tacna,
Lontra felina (Molina, 1782);Islote Santa Rosa;-70.88057583;-18.012291;2022;7;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Islote Santa Rosa;-70.88064164;-18.012263;2022;10;5;NA;1;Tacna,
Lontra felina (Molina, 1782);Islote Santa Rosa;-70.88064164;-18.012263;2022;10;5;NA;1;Tacna,
Lontra felina (Molina, 1782);Islote Santa Rosa;-70.88168309;-18.010745;2022;7;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Islote Santa Rosa;-70.88276729;-18.009695;2022;10;5;NA;1;Tacna,
Lontra felina (Molina, 1782);Puerto Grau;-70.8841627;-17.99528;2022;7;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Puerto Grau;-70.8841627;-17.99528;2022;7;23;NA;1;Tacna,
Lontra felina (Molina, 1782);Puerto Grau;-70.88433171;-17.994303;2022;5;20;NA;1;Tacna,
Lontra felina (Molina, 1782);Puerto Grau;-70.88433171;-17.994303;2022;5;20;NA;1;Tacna,
Lontra felina (Molina, 1782);Punta Picata;-71.09690976;-17.868383;2022;7;24;NA;1;Tacna,
Lontra felina (Molina, 1782);Punta Picata;-71.09724627;-17.868118;2022;9;30;NA;1;Tacna,
Lontra felina (Molina, 1782);Punta Picata;-71.0973406;-17.868117;2022;7;24;NA;1;Tacna,
Lontra felina (Molina, 1782);Punta Picata;-71.09746227;-17.868034;2022;9;30;NA;1;Tacna,
Lontra felina (Molina, 1782);Punta Picata;-71.09742433;-17.868016;2022;7;24;NA;1;Tacna,
Lontra felina (Molina, 1782);Desembarcadero Artesanal;-71.09610172;-17.867859;2022;7;24;NA;1;Tacna,
Lontra felina (Molina, 1782);Desembarcadero Artesanal;-71.09552462;-17.867721;2022;5;20;NA;1;Tacna,
Lontra felina (Molina, 1782);Desembarcadero Artesanal;-71.09552462;-17.867721;2022;7;24;NA;1;Tacna,
Lontra felina (Molina, 1782);Glorieta de Punta Picata;-71.09732216;-17.867349;2022;7;24;NA;1;Tacna,
Lontra felina (Molina, 1782);Glorieta de Punta Picata;-71.09715556;-17.866514;2022;5;20;NA;1;Tacna,
Lontra felina (Molina, 1782);Glorieta de Punta Picata;-71.09715556;-17.866514;2022;5;20;NA;1;Tacna,
Lontra felina (Molina, 1782);Glorieta de Punta Picata;-71.09724532;-17.866428;2022;7;24;NA;1;Tacna,
Lontra felina (Molina, 1782);Glorieta de Punta Picata;-71.09724521;-17.866419;2022;7;24;NA;1;Tacna,
Lontra felina (Molina, 1782);Glorieta de Punta Picata;-71.09728199;-17.865534;2022;9;30;NA;1;Tacna,
Lontra felina (Molina, 1782);Playa Picata;-71.09692461;-17.86402;2022;9;30;NA;1;Tacna,
Lontra felina (Molina, 1782);Playa Picata;-71.09756095;-17.861971;2022;5;20;NA;1;Tacna,
Lontra felina (Molina, 1782);Caleta la Zonza;-71.09881027;-17.859103;2022;9;30;NA;1;Tacna,
Lontra felina (Molina, 1782);Punta Apacheta Norte;-71.09877222;-17.859077;2022;10;1;NA;1;Moquegua,
Lontra felina (Molina, 1782);Caleta la Zonza;-71.09848797;-17.855755;2022;5;20;NA;1;Tacna,
Lontra felina (Molina, 1782);Lechucera;-71.10227681;-17.853862;2022;5;20;NA;1;Tacna,
Lontra felina (Molina, 1782);Playa Rocosa de Picata;-71.10422187;-17.85161;2022;5;20;NA;1;Tacna,
Lontra felina (Molina, 1782);Playa Rocosa de Picata;-71.10411419;-17.851277;2022;7;24;NA;1;Tacna,
Lontra felina (Molina, 1782);Punta Icuy;-71.15291293;-17.818477;2022;5;23;NA;1;Moquegua,
Lontra felina (Molina, 1782);Punta Icuy;-71.15560293;-17.817869;2022;10;6;NA;1;Moquegua,
Lontra felina (Molina, 1782);Punta Icuy;-71.15441173;-17.817629;2022;10;6;NA;1;Moquegua,
Lontra felina (Molina, 1782);Punta Icuy;-71.15789095;-17.815992;2022;10;6;NA;1;Moquegua,
Lontra felina (Molina, 1782);Punta Icuy;-71.15914409;-17.815111;2022;5;23;NA;1;Moquegua,
Lontra felina (Molina, 1782);Punta Cordel;-71.15916284;-17.815101;2022;7;21;NA;1;Arequipa,
Lontra felina (Molina, 1782);Punta Cordel;-71.15916284;-17.815101;2022;7;21;NA;1;Arequipa,
Lontra felina (Molina, 1782);Playa Rio Seco;-71.16406959;-17.812978;2022;10;6;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa Rio Seco;-71.16406959;-17.812978;2022;10;6;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa Rio Seco;-71.16520375;-17.81162;2022;5;23;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa Rio Seco;-71.16527558;-17.811321;2022;7;24;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa Rio Seco;-71.165802;-17.81118;2022;10;6;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa Rio Seco;-71.16828481;-17.81061;2022;5;23;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa Rio Seco;-71.16799767;-17.810261;2022;5;23;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa Tronco de Oro;-71.16976303;-17.808073;2022;10;6;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa Tronco de Oro;-71.16942812;-17.806894;2022;5;23;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa Tronco de Oro;-71.16947592;-17.804608;2022;5;23;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa Tronco de Oro;-71.16843578;-17.804375;2022;7;24;NA;1;Moquegua,
Lontra felina (Molina, 1782);Punta Tronco de Oro;-71.17265012;-17.804292;2022;10;6;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa Tronco de Oro;-71.17139489;-17.80343;2022;5;23;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa Tronco de Oro;-71.1720638;-17.803378;2022;5;23;NA;1;Moquegua,
Lontra felina (Molina, 1782);Punta Tronco de Oro;-71.17453167;-17.803142;2022;7;24;NA;1;Moquegua,
Lontra felina (Molina, 1782);Punta Tronco de Oro;-71.1743784;-17.802945;2022;5;23;NA;1;Moquegua,
Lontra felina (Molina, 1782);Punta Tronco de Oro;-71.17574494;-17.802876;2022;10;6;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa Tronco de Oro;-71.17181056;-17.802712;2022;10;6;NA;1;Moquegua,
Lontra felina (Molina, 1782);Punta Tronco de Oro;-71.17565823;-17.801946;2022;5;23;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa La Higuera;-71.17478126;-17.800393;2022;10;6;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa La Higuera;-71.17446059;-17.799611;2022;7;24;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa La Higuera;-71.17494706;-17.799289;2022;5;23;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa La Higuera;-71.17573273;-17.79798;2022;7;24;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa La Higuera;-71.17605868;-17.797642;2022;5;23;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa La Higuera;-71.17629814;-17.796393;2022;7;24;NA;1;Moquegua,
Lontra felina (Molina, 1782);Punta Chorrillos;-71.17726876;-17.794006;2022;7;24;NA;1;Moquegua,
Lontra felina (Molina, 1782);Punta Chorrillos;-71.1774046;-17.793544;2022;7;24;NA;1;Moquegua,
Lontra felina (Molina, 1782);Punta Chorrillos;-71.17717899;-17.792047;2022;7;24;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa Gentilar;-71.37178437;-17.693127;2022;5;23;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa Gentilar;-71.37328093;-17.687256;2022;7;22;NA;1;Moquegua,
Lontra felina (Molina, 1782);Corralitos;-71.36147706;-17.668755;2022;10;4;NA;1;Moquegua,
Lontra felina (Molina, 1782);Corralitos;-71.36147706;-17.668755;2022;10;4;NA;1;Moquegua,
Lontra felina (Molina, 1782);Corralitos;-71.36147706;-17.668755;2022;10;4;NA;1;Moquegua,
Lontra felina (Molina, 1782);Corralitos;-71.36147706;-17.668755;2022;10;4;NA;1;Moquegua,
Lontra felina (Molina, 1782);Corralitos;-71.36147706;-17.668755;2022;10;4;NA;1;Moquegua,
Lontra felina (Molina, 1782);Caleta Cata Cata;-71.36030544;-17.664894;2022;7;22;NA;1;Moquegua,
Lontra felina (Molina, 1782);Caleta Cata Cata;-71.35823881;-17.663924;2022;5;19;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa Tres Hermanas;-71.35847787;-17.662748;2022;5;19;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa Calienta Negros;-71.35812804;-17.659762;2022;7;22;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa Calienta Negros;-71.35812804;-17.659762;2022;7;22;NA;1;Moquegua,
Lontra felina (Molina, 1782);Playa Tres Hermanas;-71.35531002;-17.65752;2022;5;23;NA;1;Moquegua,
